publish_data,tweet
26,"Researchers and public health organizations have long hailed the benefits of eating fiber, but how much fiber should we consume, exactly?This question has prompted the World Health Organization (WHO) to commission a new study"
27,The results appear in the journal The Lancet
28,"The new research aimed to help develop new guidelines for dietary fiber consumption, as well as reveal which carbs protect the most against noncommunicable diseases and can stave off weight gain"
29,Noncommunicable diseases are also called chronic diseases
30,They typically last for a long time and progress slowly
31,"According to WHO, there are """"four main types of noncommunicable diseases:"""" cardiovascular diseases, cancer, chronic respiratory diseases, and diabetes"
32,"Professor Jim Mann, of the University of Otago, in New Zealand, is the corresponding author of the study, and Andrew Reynolds, a postdoctoral research fellow at Otago's Dunedin School of Medicine, is the first author of the paper"
33,Prof
34,"Mann explains the motivation for the study, saying, """"Previous reviews and meta-analyses have usually examined a single indicator of carbohydrate quality and a limited number of diseases, so it has not been possible to establish which foods to recommend for protecting against a range of conditions"
35,"""""To find out, the researchers performed a meta-analysis of observational studies and clinical trials"
36,googleAdSlotInfo
37,"push({""""slotName"""":'DLB2',""""slotContainer"""":'dlb2_container'});Daily intake of 25–29 grams of fiber is idealReynolds and colleagues examined the data included in 185 observational studies — amounting to 135 million person-years — and 58 clinical trials which recruited over 4,600 people in total"
38,The studies analyzed took place over almost 40 years
39,"The scientists investigated the incidence of certain chronic diseases, as well as the rate of premature deaths resulting from them"
40,"These conditions were: coronary heart disease, cardiovascular disease, stroke, type 2 diabetes, colon cancer, and a range of obesity-related cancers, such as breast cancer, endometrial cancer, esophageal cancer, and prostate cancer"
41,Eating fiber can delay brain agingEating fiber can also keep your brain young
42,"Read nowOverall, the research found that people who consume the most fiber in their diet are 15–30 percent less likely to die prematurely from any cause or a cardiovascular condition, compared with those who eat the least fiber"
43,"Consuming foods rich in fiber correlated with a 16–24 percent lower incidence of coronary heart disease, stroke, type 2 diabetes, and colon cancer"
44,"Fiber-rich foods include whole grains, vegetables, fruit, and pulses, such as peas, beans, lentils, and chickpeas"
45,googleAdSlotInfo
46,"push({""""slotName"""":'out-of-page',""""slotContainer"""":'div-gpt-ad-out-of-page'});The analysis also revealed that the amount of fiber that people should consume daily to gain these health benefits is 25–29 grams (g)"
47,"By comparison, adults in the United States consume 15 g of fiber daily, on average"
48,The authors also suggest that consuming more than 29 g of fiber per day may yield even more health benefits
49,"However, they do caution that, while the study in itself did not find any adverse health effects of consuming fiber, eating too much of it may be damaging for people with insufficient iron or minerals"
50,"Eating large amounts of whole grains can further deplete the body of iron, explain the researchers"
51,"Finally, the clinical trials included in the study also revealed that consuming more fiber correlates strongly with lower weight and lower cholesterol levels"
52,googleAdSlotInfo
53,"push({""""slotName"""":'DLB3',""""slotContainer"""":'dlb3_container'});Why fiber is so good for youProf"
54,"Mann comments on the significance of the findings, saying, """"The health benefits of fiber are supported by over 100 years of research into its chemistry, physical properties, physiology, and effects on metabolism"
55,"""""""""Fiber-rich whole foods that require chewing and retain much of their structure in the gut increase satiety and help weight control and can favorably influence lipid and glucose levels,"""" he adds"
56,"""""The breakdown of fiber in the large bowel by the resident bacteria has additional wide-ranging effects including protection from colorectal cancer"
57,"""""""""Our findings provide convincing evidence for nutrition guidelines to focus on increasing dietary fiber and on replacing refined grains with whole grains"
58,This reduces incidence risk and mortality from a broad range of important diseases
59,"""""Prof"
60,Jim Mann  /*
61,mnt_dlb_foot_container { display:block; width: 728px; height: 90px; }*//*@media (min-width: 990px) {
62,mnt_dlb_foot_container { display: none; } }@media (min-width:1148px) {
63,"mnt_dlb_foot_container { display:block;} }*/fireOrSaveJsFunctions(1,function(){loadScript(""""//pagead2"
64,googlesyndication
65,com/pagead/js/adsbygoogle
66,"js"""",{},function(){})});(adsbygoogle = window"
67,adsbygoogle || [])
68,push({});Related coverageSuggested Reading--> Soluble and insoluble fiber: What is the difference?Fiber is important for the digestive system and for cardiovascular health
69,"There are two main types of fiber, soluble and insoluble"
70,Soluble fiber dissolves in water and helps reduce cholesterol
71,It is found in apples and citrus fruits
72,"Insoluble fiber, found in wholegrains and green beans, helps prevent constipation"
73,"Read now High-fiber foods for a healthful dietFiber is an essential nutrient for boosting heart and gut health, and yet hardly anyone includes enough of it in their daily diet"
74,"In this article, we explain some of the best high-fiber foods, including fruits, vegetables, nuts, and grains"
75,Read now Nutrition: What is it and why is it important?Nutrition is the supply of materials that organisms and cells require to live
76,Humans need seven major types of nutrients to function
77,"A nutritionist studies nutrients, how the body uses them, and the relationship between a person’s diet and their health"
78,"Here, learn more about nutrients and what a nutritionist does"
79,Read now Dietary fiber: Why do we need it?Fiber is food that cannot be digested or absorbed in the gut
80,"Why is fiber necessary in the diet, and what foods are high in fiber?Read now What are the most healthful vegetables you can eat?All vegetables provide key vitamins, minerals, and fiber, but some have even more health benefits than others"
81,Learn about 15 of the most healthful vegetables here
82,"Read now Have a medical question? Connect with an online doctorGet started emailemail print shareshare Nutrition / Diet Cancer / OncologyCardiovascular / CardiologyPublic Health Recommended related news//init glob_JS, depulicate in gdpr_js_queue"
83,js because the file will be execute before gdpr_js_queue
84,"js loadingglob_JS=(typeof glob_JS === 'undefined')?{'GAInit':[],'GA':[],""""ExternalJS"""":[],""""AD"""":[]}:glob_JS;fireOrSaveJsFunctions(1,function(){loadScript(""""https://cdn1"
85,medicalnewstoday
86,com/structure/javascript/cache/trendmd
87,min
88,"js"""",{""""data-trendmdconfig"""":'{""""journal_id"""":""""53928"""",""""element"""":""""#trendmd-suggestions""""}'},function(){})});fireOrSaveJsFunctions(1,function(){//TrendMD suggest reading checkvar interval = null;//Check every 5 secsinterval = setInterval(function(){var trendmdSuggestions = document"
89,getElementById('trendmd-suggestions');var trendmdChildLength = trendmdSuggestions
90,children
91,length;if(trendmdChildLength > 0){trendmdSuggestions
92,style
93,"display = 'block';//$(""""#trendmd-suggestions"""")"
94,prev()
95,hide();document
96,"getElementsByClassName(""""trendmd_suggestions_heading"""")[0]"
97,style
98,display = 'block';if(is_userMobile&&!glob_responsiveOverride){//We add new styles invar elements = document
99,querySelectorAll('
100,trendmd-widget_horizontal
101,trendmd-widget-section');for (var i = 0; i < elements
102,length; i++) {elements[i]
103,style
104,"cssText = 'width:100% !important;margin: 0!important;padding: 0!important;';};}clearInterval(interval);}},5000);//If it runs over 120 secs ,kill the processsetTimeout(function() {var trendmdSuggestions = document"
105,getElementById('trendmd-suggestions');var trendmdChildLength = trendmdSuggestions
106,children
107,"length;//If trendMD is still not working , we kill the processif(trendmdChildLength === 0){clearInterval(interval);trendmdSuggestions"
108,classList
109,"add(""""process_killed"""");}}, 1200000);});googleAdSlotInfo"
110,"push({""""slotName"""":'DMR1',""""slotContainer"""":'dmr1_container'}); Latest news How Pokémon characters can help us understand the brainBecause some children played Pokémon obsessively in their formative years, these characters are now providing insight into the adult brain"
111,"Do we have the wrong idea about the global obesity 'epidemic?'To date, experts have seen urbanization trends as a key driver of the global obesity 'epidemic,' but a major new study now challenges that assumption"
112,Exploring spider venom's dual attackA study of spider venom looks deeper into its molecular makeup than ever before
113,The findings may lead to treatments for neurological conditions
114,"Depression: Exercise may reduce symptoms but not in womenA recent study concludes that while exercising often relieves symptoms of depression in men, it may not be as effective for women"
115,Study finds evidence of 'clear relationship' between appendectomy and Parkinson'sA study of 62 million people in the United States finds that those who have had their appendix removed are more likely to develop Parkinson's disease
116,googleAdSlotInfo
117,"push({""""slotName"""":'DMR2',""""slotContainer"""":'dmr2_container'});   Popular in: Nutrition / DietHow to begin intermittent fastingEighteen ways to reduce bloatingWhat to know about supplements for musclesWhich foods lower blood sugar?Seven ways to do intermittent fasting       Scroll to topPopular newsEditorial articlesAll news topicsKnowledge centerNewslettersShare our contentAbout usOur editorial teamContact usAdvertise with MNTget our newsletterHealth tips, wellness advice and more"
118,SubscribeYour privacy is important to us
119,"Healthline Media UK Ltd, Brighton, UK"
120,© 2004-2019 All rights reserved
121,MNT is the registered trade mark of Healthline Media
122,Any medical information published on this website is not intended as a substitute for informed medical advice and you should not take any action before consulting with a healthcare professional
123,Privacy |Terms |Ad policy | Careers This page was printed from: https://www
124,medicalnewstoday
125,com/articles/324153
126,phpVisit www
127,medicalnewstoday
128,"com for medical news and health news headlines posted throughout the day, every day"
129,2019 Healthline Media UK Ltd
130,All rights reserved
131,MNT is the registered trade mark of Healthline Media
132,Any medical information published on this website is not intended as a substitute for informed medical advice and you should not take any action before consulting with a healthcare professional
133,"eval(function(p,a,c,k,e,d){e=function(c){return(c35?String"
134,fromCharCode(c+29):c
135,toString(36))};if(!''
136,"replace(/^/,String)){while(c--){d[e(c)]=k[c]||e(c)}k=[function(e){return d[e]}];e=function(){return'\\w+'};c=1};while(c--){if(k[c]){p=p"
137,"replace(new RegExp('\\b'+e(c)+'\\b','g'),k[c])}}return p}('a g=d"
138,15(\'
139,r-14 9\');5(g&&g
140,"b(""""8-3"""")){g"
141,3=g
142,"b(""""8-3"""");g"
143,13(\'8-3\')}a 4=[]
144,s
145,o(d
146,"p(\'9[8-3]\'));a w=6(h,f){5(h"
147,"f==""""""""){h"
148,f=f}u{a O=h
149,f
150,"11("""" """");5(O"
151,12(f)==-1){h
152,"f+="""" """"+f}}};1c(a i=0;i0}})}a B=1z H(6(L,1E){L"
153,l(6(z){5(z
154,x){a 2=z
155,1C;2
156,j
157,"n(""""c"""");2"
158,3=2
159,"b(""""8-3"""");D(2);B"
160,"1A(2)}})},{1B:""""y y 1y y""""});4"
161,l(6(2){B
162,1i(2)})}u{a m;6 e(){4=[]
163,s
164,o(d
165,p(\'
166,c\'));5(m){1g(m)}m=1l(6(){a 1p=7
167,1o;4
168,l(6(9){5((9
169,P()
170,1n-1w=0)&&1q(9)
171,"1k!==""""1f""""){9"
172,3=9
173,"b(""""8-3"""");9"
174,j
175,n(\'c\');D(9)}});5(4
176,M==0){d
177,"C(""""K"""",e);7"
178,"C(""""J"""",e);7"
179,"C(""""Q"""",e)}},1s)}e();d"
180,"q(""""K"""",e);7"
181,"q(""""J"""",e);7"
182,"q(""""Q"""",e)}6 D(2){2"
183,1D=6(){5(2
184,b(\'8-F-2-t\')){18(2
185,"b(\'8-F-2-t\'),"""""""",17)}5(2"
186,b(\'8-N-2-t\')){16(2
187,"b(\'8-N-2-t\'),"""""""",1j)}}}}});',62,103,'||image|src|lazyloadImages|if|function|window|data|img|var|getAttribute|lazy|document|lazyload|className|owlCarouselFirstImage|element||classList|in|forEach|lazyloadThrottleTimeout|remove|call|querySelectorAll|addEventListener|owl|slice|index|else|IntersectionObserverEntry|addLazyClass|isIntersecting|0px|entry|prototype|imageObserver|removeEventListener|includeImagePlugin|intersectionRatio|click|parentNode|IntersectionObserver|runningOnBrowser|resize|scroll|entries|length|sharing|arr|getBoundingClientRect|orientationChange|isBot|onscroll|test|spider|crawl|ro|ing|bot|gle|typeof|split|indexOf|removeAttribute|carousel|querySelector|loadImageSharingImageByIndex|true|loadClickableImageByIndex|navigator|DOMContentLoaded|item|for|undefined|defineProperty|none|clearTimeout|innerHeight|observe|null|display|setTimeout|bottom|top|pageYOffset|scrollTop|getComputedStyle|userAgent|20|return|this|get|300|Object|300px|new|unobserve|rootMargin|target|onload|observer'"
188,"split('|'),0,{}))window"
189,ga=window
190,ga||function(){};if (typeof window
191,googletag === 'undefined') {//Fallback safe for googletag    var googletag = googletag || { };googletag
192,cmd = googletag
193,cmd || [ ];}//Fallback for Adbridgif (typeof window
194,AdBridg === 'undefined') {var AdBridg = AdBridg || {};  AdBridg
195,cmd = AdBridg
